O9G_000001	PITH domain-containing protein
O9G_000364	hypothetical protein
O9G_000365	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_000366	hypothetical protein
O9G_000367	Pex19 protein domain-containing protein
O9G_000368	Asparagine-linked glycosylation protein 1-like domain-containing protein
O9G_000369	Nucleosome assembly protein (NAP) domain-containing protein
O9G_000370	Pyridoxal phosphate-dependent transferase domain-containing protein 7
O9G_000371	hypothetical protein
O9G_000372	RNA polymerase, subunit omega/K/RPABC2 domain-containing protein
O9G_000373	Inosine triphosphate pyrophosphatase
O9G_000374	hypothetical protein
O9G_000375	Protein-tyrosine phosphatase eukaryotic domain-containing protein
O9G_000376	Peptidase S1, trypsin family domain-containing protein
O9G_000377	CTP synthase
O9G_000378	Lipoyltransferase/lipoate-protein ligase domain-containing protein
O9G_000379	Cupin-like domain-containing protein
O9G_000380	hypothetical protein
O9G_000381	Endonuclease/exonuclease/phosphatase domain-containing protein
O9G_000382	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain-containing protein
O9G_000383	hypothetical protein
O9G_000384	hypothetical protein
O9G_000385	60S ribosome subunit biogenesis protein nip7
O9G_000386	60S ribosomal protein L27a
O9G_000387	Glutamine synthetase, catalytic domain-containing protein
O9G_000388	putative succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial
O9G_000389	hypothetical protein
O9G_000390	hypothetical protein
O9G_000391	hypothetical protein
O9G_000392	hypothetical protein
O9G_000393	Protein kinase, catalytic domain-containing protein
O9G_000394	hypothetical protein
O9G_000395	FAM116 domain-containing protein
O9G_000396	FAM116 domain-containing protein
O9G_000397	hypothetical protein
O9G_000398	Glycoside hydrolase, superfamily domain-containing protein
O9G_000399	Endonuclease/exonuclease/phosphatase domain-containing protein
O9G_000400	hypothetical protein
O9G_000401	hypothetical protein
O9G_000402	2Fe-2S ferredoxin-type domain-containing protein
O9G_000403	hypothetical protein
O9G_000404	Nucleic acid-binding domain-containing protein
O9G_000405	hypothetical protein
O9G_000406	Protein kinase, catalytic domain-containing protein
O9G_000407	hypothetical protein
O9G_000408	Fungal chitin synthase domain-containing protein
O9G_000409	Protein of unknown function DUF159 domain-containing protein
O9G_000410	Phosphatidylinositol 3-/4-kinase, catalytic domain-containing protein
O9G_000411	Rab-GTPase-TBC domain-containing protein
O9G_000412	G protein-coupled receptor, rhodopsin-like domain-containing protein
O9G_000413	Centrin-3
O9G_000414	hypothetical protein
O9G_000415	hypothetical protein
O9G_000416	hypothetical protein
O9G_000417	hypothetical protein
O9G_000418	hypothetical protein
O9G_000419	hypothetical protein
O9G_000420	SRP40 domain-containing protein
O9G_000421	DNA/RNA helicase, DEAD/DEAH box type domain-containing protein
O9G_000422	DTW domain-containing protein
O9G_000423	Guanine-nucleotide dissociation stimulator CDC25 domain-containing protein
O9G_000424	hypothetical protein
O9G_000425	putative, di-copper centre domain-containing protein
O9G_000426	ATPase GET3
O9G_000427	PCI/PINT associated module domain-containing protein
O9G_000428	Small GTPase superfamily domain-containing protein
O9G_000429	Helicase, superfamily 1/2, ATP-binding domain-containing protein
O9G_000430	Ribosomal protein L13, bacterial-type domain-containing protein
O9G_000431	Aquaporin-like domain-containing protein
O9G_000432	Proteasome subunit alpha type-4
O9G_000433	hypothetical protein
O9G_000434	60S ribosomal protein L8
O9G_000435	Tetratricopeptide-like helical domain-containing protein
O9G_000436	hypothetical protein
O9G_000437	hypothetical protein
O9G_000438	Dynein light chain, type 1/2 domain-containing protein
O9G_000439	GWT1 domain-containing protein
O9G_000440	Sirtuin family, catalytic core small domain-containing protein
O9G_000441	Ribonuclease P/MRP, subunit POP1 domain-containing protein
O9G_000442	Methyltransferase domain-containing protein
O9G_000443	hypothetical protein
O9G_000444	Protein of unknown function DUF1077, TMEM85 domain-containing protein
O9G_000445	hypothetical protein
O9G_000446	hypothetical protein
O9G_000447	hypothetical protein
O9G_000448	THO complex, subunit THOC1 domain-containing protein
O9G_000449	hypothetical protein
O9G_000450	Phospholipase C/P1 nuclease domain-containing protein
O9G_000451	Carbohydrate kinase, thermoresistant glucokinase domain-containing protein
O9G_000452	Dynein heavy chain-1 domain-containing protein
O9G_000453	Bystin domain-containing protein
O9G_000454	hypothetical protein
O9G_000455	hypothetical protein
O9G_000456	Enolase
O9G_000457	Translation initiation factor IF2/IF5 domain-containing protein
O9G_000458	NAD(P)-binding domain-containing protein
O9G_000459	Dynein heavy chain domain-containing protein
O9G_000460	Dynein heavy chain-2 domain-containing protein
O9G_000461	Peptidase A22B, signal peptide peptidase domain-containing protein
O9G_000462	GroES-like domain-containing protein
O9G_000463	hypothetical protein
O9G_000464	Nucleotide-binding, alpha-beta plait domain-containing protein
O9G_000465	Dolichyl-diphosphooligosaccharide-glycosyltransferase-like protein
O9G_000466	hypothetical protein
O9G_000467	Major facilitator superfamily, general substrate transporter domain-containing protein
O9G_000468	Major facilitator superfamily, general substrate transporter domain-containing protein
O9G_000470	hypothetical protein
O9G_000471	hypothetical protein
O9G_000472	Amidase signature domain-containing protein
O9G_000473	hypothetical protein
O9G_000474	Regulator of nonsense transcripts-like protein
O9G_000475	Chaperonin ClpA/B domain-containing protein
O9G_000476	hypothetical protein
O9G_000477	hypothetical protein
O9G_000478	ThiJ/PfpI domain-containing protein
O9G_000479	hypothetical protein
O9G_000480	putative U6 snRNA-associated Sm-like protein LSm3
O9G_000481	hypothetical protein
O9G_000482	hypothetical protein
O9G_000483	hypothetical protein
O9G_000484	Ribosomal protein S5 2-type fold, subgroup domain-containing protein
O9G_000485	Dynein-1-alpha heavy chain, flagellar inner arm I1 complex domain-containing protein
O9G_000486	Ssl1-like domain-containing protein
O9G_000487	hypothetical protein
O9G_000488	hypothetical protein
O9G_000489	snRNA-activating protein complex, subunit 3 domain-containing protein
O9G_000490	putative ATP-dependent RNA helicase DDX47
O9G_000491	hypothetical protein
O9G_000493	hypothetical protein
O9G_000494	Membrane insertase OXA1/ALB3/YidC domain-containing protein
O9G_000495	4-hydroxybutyrate coenzyme A transferase domain-containing protein
O9G_000496	Protein of unknown function (DUF2435) domain-containing protein
O9G_000497	hypothetical protein
O9G_000500	hypothetical protein
O9G_000501	hypothetical protein
O9G_000502	hypothetical protein
O9G_000503	hypothetical protein
O9G_000504	hypothetical protein
O9G_000505	hypothetical protein
O9G_000506	hypothetical protein
O9G_000507	hypothetical protein
O9G_000508	Chitin synthase III catalytic subunit domain-containing protein
O9G_000509	hypothetical protein
O9G_000510	Major facilitator superfamily, general substrate transporter domain-containing protein
O9G_000511	hypothetical protein
O9G_000512	CCR4-Not complex, Not1 subunit of unknown function DUF3819 domain-containing protein
O9G_000513	hypothetical protein
O9G_000514	hypothetical protein
O9G_000515	Exportin-1-like protein
O9G_000516	60S ribosomal protein L12
O9G_000517	hypothetical protein
O9G_000518	hypothetical protein
O9G_000519	hypothetical protein
O9G_000520	hypothetical protein
O9G_000521	hypothetical protein
O9G_000522	hypothetical protein
O9G_000523	hypothetical protein
O9G_000524	hypothetical protein
O9G_000525	Heme A synthase domain-containing protein
O9G_000526	Histone H3.3
O9G_000527	Histone H4
O9G_000528	hypothetical protein
O9G_000529	hypothetical protein
O9G_000530	LMBR1-like membrane protein domain-containing protein
O9G_000531	hypothetical protein
O9G_000532	(Uracil-5)-methyltransferase domain-containing protein
O9G_000533	CTLH/CRAto LisH motif domain-containing protein
O9G_000534	tRNAHis guanylyltransferase catalytic domain-containing protein
O9G_000535	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial
O9G_000536	hypothetical protein
O9G_000537	DUF1716, eukaryotic domain-containing protein
O9G_000538	Translation initiation factor SUI1 domain-containing protein
O9G_000539	Glutathione synthase, substrate-binding, eukaryotic domain-containing protein
O9G_000540	Small GTPase superfamily, ARF/SAR type domain-containing protein
O9G_000541	hypothetical protein
O9G_000542	DNA/RNA helicase, DEAD/DEAH box type domain-containing protein
O9G_000543	hypothetical protein
O9G_000544	hypothetical protein
O9G_000545	hypothetical protein
O9G_000546	Globin, structural domain-containing protein
O9G_000547	P-loop containing nucleoside triphosphate hydrolase domain-containing protein
O9G_000548	hypothetical protein
O9G_000549	hypothetical protein
O9G_000550	hypothetical protein
O9G_000551	AAA domain-containing protein
O9G_000552	hypothetical protein
O9G_000553	hypothetical protein
O9G_000554	hypothetical protein
O9G_000555	Peptidase M41 domain-containing protein
O9G_000556	hypothetical protein
O9G_000557	Mur ligase, central domain-containing protein
O9G_000558	hypothetical protein
O9G_000559	Protein kinase, ATP binding site domain-containing protein
O9G_000560	Amino acid transporter domain-containing protein
O9G_000561	hypothetical protein
O9G_000562	Cyclin domain-containing protein
O9G_000563	Rossmann-like alpha/beta/alpha sandwich fold domain-containing protein
O9G_000564	hypothetical protein
O9G_000565	hypothetical protein
O9G_000566	hypothetical protein
O9G_000567	Cytidine deaminase-like domain-containing protein
O9G_000568	hypothetical protein
O9G_000569	Quinonprotein alcohol dehydrogenase-like superfamily domain-containing protein
O9G_000570	NAD(P)-binding domain-containing protein
O9G_000571	hypothetical protein
O9G_000572	DNA topoisomerase, type IIA domain-containing protein
O9G_000573	RNA recognition motif domain-containing protein
O9G_000574	GPI transamidase component PIG-T domain-containing protein
O9G_000575	DNA helicase, ATP-dependent, RecQ type domain-containing protein
O9G_000576	hypothetical protein
O9G_000577	Transcription initiation factor TFIID subunit 1 domain-containing protein
O9G_000578	hypothetical protein
O9G_000579	Hydroxymethylglutaryl-coenzyme A synthase domain-containing protein
O9G_000580	Ribosomal protein L3 domain-containing protein
O9G_000581	Small nuclear ribonucleoprotein Sm D1
O9G_000582	hypothetical protein
O9G_000583	GPCR, family 3 domain-containing protein
O9G_000584	HECT domain-containing protein
O9G_000585	HAD-like domain-containing protein
O9G_000586	Citrate synthase, mitochondrial
O9G_000587	Peptidase M18 2 domain-containing protein
O9G_000588	Basic-leucine zipper domain-containing protein
O9G_000589	hypothetical protein
O9G_000590	hypothetical protein
O9G_000591	hypothetical protein
O9G_000592	hypothetical protein
O9G_000593	FAM92 protein domain-containing protein
O9G_000594	Nascent polypeptide-associated complex subunit alpha domain-containing protein
O9G_000595	MIR motif domain-containing protein
O9G_000596	GTP-GDP exchange factor domain-containing protein
O9G_000597	hypothetical protein
O9G_000598	Ubiquitin fusion degradation protein UFD1 domain-containing protein
O9G_000599	hypothetical protein
O9G_000600	hypothetical protein
O9G_000601	SWR1-complex protein 4/DNA methyltransferase 1 domain-containing protein
O9G_000602	Tetratricopeptide-like helical domain-containing protein
O9G_000603	hypothetical protein
O9G_000604	hypothetical protein
O9G_000605	P-type ATPase, A domain-containing protein
O9G_000606	Helicase domain-containing protein
O9G_000607	TPX2 domain-containing protein
O9G_000608	Protein of unknown function DUF2362 domain-containing protein
O9G_000609	hypothetical protein
O9G_000610	ENTH/VHS domain-containing protein
O9G_000611	hypothetical protein
O9G_000612	hypothetical protein
O9G_000613	hypothetical protein
O9G_000614	Transcription initiation factor TFIID component TAF4 domain-containing protein
O9G_000615	hypothetical protein
O9G_000616	hypothetical protein
O9G_000617	hypothetical protein
O9G_000618	hypothetical protein
O9G_000619	hypothetical protein
O9G_000620	hypothetical protein
O9G_000621	hypothetical protein
O9G_000622	hypothetical protein
O9G_000623	hypothetical protein
O9G_000624	Protein of unknown function DUF1014 domain-containing protein
O9G_000625	Intraflagellar transport complex B protein 46 domain-containing protein
O9G_000626	Eukaryotic translation initiation factor 3 subunit C domain-containing protein
O9G_000628	hypothetical protein
O9G_000629	hypothetical protein
O9G_000630	CYTH-like domain-containing protein
O9G_000631	40S ribosomal protein S0
O9G_000632	hypothetical protein
O9G_000633	Ras-related protein Rab-5A
O9G_000634	hypothetical protein
O9G_000635	Glycoside hydrolase, family 47 domain-containing protein
O9G_000636	Nucleotide-binding, alpha-beta plait domain-containing protein
O9G_000637	hypothetical protein
O9G_000638	DNA/RNA helicase, DEAD/DEAH box type domain-containing protein
O9G_000639	hypothetical protein
O9G_000640	hypothetical protein
O9G_000641	hypothetical protein
O9G_000642	hypothetical protein
O9G_000643	Peptidase S8, subtilisin-related domain-containing protein
O9G_000644	hypothetical protein
O9G_000645	hypothetical protein
O9G_000646	60S ribosomal protein L34-B
O9G_000647	hypothetical protein
O9G_000648	DNA/RNA helicase, DEAD/DEAH box type domain-containing protein
O9G_000649	hypothetical protein
O9G_000650	hypothetical protein
O9G_000651	Proteasome Inhibitor PI31 domain-containing protein
O9G_000652	Transportin-2/Importin-like protein
O9G_000653	DNA/RNA helicase, DEAD/DEAH box type domain-containing protein
O9G_000654	hypothetical protein
O9G_000655	RmlC-like jelly roll fold domain-containing protein
O9G_000656	Adenosine/AMP deaminase domain-containing protein
O9G_000657	hypothetical protein
O9G_000658	hypothetical protein
O9G_000659	hypothetical protein
O9G_000660	hypothetical protein
O9G_000661	hypothetical protein
O9G_000662	hypothetical protein
O9G_000663	Epsin-like domain-containing protein
O9G_000664	hypothetical protein
O9G_000665	Methylmalonyl-CoA mutase, alpha chain, catalytic domain-containing protein
O9G_000666	hypothetical protein
O9G_000667	hypothetical protein
O9G_000668	Heat shock protein 81-2
O9G_000669	hypothetical protein
O9G_000670	Zinc finger, GATA-type domain-containing protein
O9G_000671	hypothetical protein
